Page Number,Text,Company_Type,City,County,Company_Name,Address,Building,Full_Address,Latitude,Longitude
1,"NEW YORK CITY, 4,746,883 Attorney",,New York,New York,"NEW YORK CITY,","4,746,883 Attorney",,"4,746,883 Attorney, New York, New York",,
1,"ere POPE CALDWELL, Attorney.",Attorney,New York,New York,"ere POPE CALDWELL, Attorney.",,,,,
1,42 Broadway. Special attention given,Attorney,New York,New York,,42 Broadway. Special attention given,,"42 Broadway. Special attention given, New York, New York",,
1,to mon Estate Law,Attorney,New York,New York,to mon Estate Law,,,,,
1,Real Estate,Real Estate,New York,New York,Real Estate,,,,,
1,"OHAS. POPE CALDWELL,  Broadway",Real Estate,New York,New York,"OHAS. POPE CALDWELL,  Broadway",,,,,
1,"J. CLARENCE DAvIES, 14sth st. and",Real Estate,New York,New York,"J. CLARENCE DAvIES,",14sth st. and,,"14sth st. and, New York, New York",,
1,8d ave.,Real Estate,New York,New York,,8d ave.,,"8d ave., New York, New York",,
1,C. A. Aa 190 Metropolitan Tower,Real Estate,New York,New York,C. A. Aa,190 Metropolitan Tower,,"190 Metropolitan Tower, New York, New York",,
1,"MEXICAN TITLE MORT. CO., 5. A., 25 Gi",Real Estate,New York,New York,"MEXICAN TITLE MORT. CO.,","5. A., 25 Gi",,"5. A., 25 Gi, New York, New York",,
1,"J. EK. MOESER, 818 W. Sith",Real Estate,New York,New York,"J. EK. MOESER,",818 W. Sith,,"818 W. Sith, New York, New York",,
1,"MUTUAL PROFIT REALTY CO., 1328",Real Estate,New York,New York,"MUTUAL PROFIT REALTY CO.,",1328,,"1328, New York, New York",42.9264863,-78.896094
1,Bre ain adv.,Real Estate,New York,New York,Bre ain adv.,,,,,
1,"Ww. M. O ANDEE, Inc., Dept. Z, 12",Real Estate,New York,New York,"Ww. M. O ANDEE, Inc., Dept. Z,",12,,"12, New York, New York",,
1,LA Slet,Real Estate,New York,New York,LA Slet,,,,,
1,EB. H. P 200 W. Séth st.,Real Estate,New York,New York,EB. H. P,200 W. Séth st.,,"200 W. Séth st., New York, New York",,
1,THE 2® ESTATS BOARD OF,Real Estate,New York,New York,THE,2® ESTATS BOARD OF,,"2® ESTATS BOARD OF, New York, New York",,
1,ae roadway,Real Estate,New York,New York,ae roadway,,,,,
1,"poveree BINSON, CHARLES 8.",Real Estate,New York,New York,"poveree BINSON, CHARLES",8.,,"8., New York, New York",,
1,"BRO O,, 128 Broadw Gee adv.",Real Estate,New York,New York,"BRO O,,",128 Broadw Gee adv.,,"128 Broadw Gee adv., New York, New York",,
1,eS eee ON Oe tet cavs ee adv.,Real Estate,New York,New York,eS eee ON Oe tet cavs ee adv.,,,,,
1,"a c. Sin, 140 Nassau",Real Estate,New York,New York,"a c. Sin,",140 Nassau,,"140 Nassau, New York, New York",40.73950845,-73.69926156996434
