eid,employment,industry,lat,lon,moved,id_y,id_x,region_comb_nr,cell_region,triangle_id,employment_750m,employment_cluster
803343099,2,524210,3557082.8513483917,431478.4903699035,9999,0,134,72,42062,5,2.0,False
826217320,2,236115,3557082.8513483917,431478.4903699035,9999,0,134,72,42062,5,2.0,False
966347051,1,561990,3557510.6446574605,408186.67610245355,9999,1,41,380,22032,2,1.0,False
805488066,1,531320,3557510.6446574605,408186.67610245355,9999,1,41,380,22032,2,1.0,False
60705748,1,541618,3557286.622297577,437704.1974770782,9999,1,158,284,62099,8,1.0,False
619877090,1,561499,3557286.622297577,437704.1974770782,9999,1,158,284,62099,8,1.0,False
186608423,2,561990,3557693.686074202,436414.7356975342,9999,2,153,11,9010,1,2.0,False
35663670,3,561990,3557679.3485092693,450993.75643630826,9999,2,211,11,9010,1,2.0,False
100643902,3,424590,3557590.3122468363,455906.40086749056,9999,2,231,72,42062,5,2.0,False
829118871,2,112111,3557590.3122468363,455906.40086749056,9999,2,231,72,42062,5,3.0,False
613078836,2,561990,3558004.3775022714,408757.0008012134,9999,3,44,183,24041,4,0.0,False
825371748,5,721191,3557876.31765505,418601.72902593005,9999,3,83,71,37054,5,3.0,False
796567001,1,561990,3557876.31765505,418601.72902593005,9999,3,83,71,37054,5,7.0,False
21739417,2,238190,3557876.31765505,418601.72902593005,9999,3,83,71,37054,5,6.0,False
29582710,5,721110,3557900.025721313,431946.0909744345,9999,3,136,71,37054,4,4.0,False
23924527,2,112990,3557891.144711108,450749.6026399371,9999,3,210,14,8009,8,3.0,False
963686589,2,441120,3558167.1895360574,423979.38176411454,9999,4,104,216,0,3,2.0,False
89735638,2,561990,3558272.1979414336,429393.0562348865,9999,4,125,24,2012,2,0.0,False
794500988,2,561990,3558484.4041459556,414749.6344005569,9999,5,67,17,1001,2,1.0,False
612931902,3,541420,3558317.7253206247,432476.9666261831,2016,5,138,74,42062,6,6.0,False
34347861,1,561499,3558317.7253206247,432476.9666261831,9999,5,138,74,42062,6,8.0,False
45603975,2,561990,3558290.006971955,433316.04511363717,9999,5,141,334,56083,7,2.0,False
363908489,2,561990,3558363.961190468,433872.89110131626,9999,5,143,272,73110,8,2.0,False
840124056,2,811191,3558391.9729305375,436428.5395767639,2010,5,153,289,8009,8,2.0,False
174302575,1,561990,3558330.98682124,439143.92580131855,9999,5,164,275,66097,7,3.0,False
25576732,3,112111,3558460.6281722635,439710.4784528718,9999,5,166,40,13018,1,3.0,False
107766367,2,561990,3558464.512492792,449121.1084033452,9999,5,204,223,28039,3,0.0,False
25720739,1,561990,3558551.152579822,414721.90432180115,9999,6,67,332,66097,7,2.0,False
824653369,5,541370,3558581.3660256066,417777.5338212609,9999,6,79,276,61091,8,0.0,False
24133277,2,424520,3558739.6050889418,420174.0184012271,9999,6,89,224,18025,3,4.0,False
23546754,2,561110,3558734.7288688393,422229.68991891487,9999,6,97,225,18025,2,10.0,False
170347871,2,512230,3558734.7288688393,422229.68991891487,9999,6,97,225,18025,2,10.0,False
7925538,1,236115,3558734.7288688393,422229.68991891487,9999,6,97,225,18025,2,11.0,False
601049260,2,112990,3558734.7288688393,422229.68991891487,9999,6,97,225,18025,2,10.0,False
798008087,2,444140,3558734.7288688393,422229.68991891487,9999,6,97,225,18025,2,10.0,False
828900576,1,541922,3558734.7288688393,422229.68991891487,9999,6,97,225,18025,2,11.0,False
24124690,2,112111,3558734.7288688393,422229.68991891487,9999,6,97,225,18025,2,10.0,False
180671609,1,561990,3558754.694807339,423983.7823048029,9999,6,104,225,18025,2,7.0,False
961881807,2,711130,3558567.9650234976,426764.19928922167,9999,6,115,124,56083,7,0.0,False
5681239,3,112111,3558528.2615431277,454364.08953928825,9999,6,225,142,43070,6,0.0,False
162616457,3,561990,3558959.52862499,420402.0607829802,9999,7,90,174,23033,3,3.0,False
179634782,1,111998,3558959.52862499,420402.0607829802,9999,7,90,174,23033,3,5.0,False
152749995,1,561990,3558821.346151665,423965.42219451984,9999,7,104,124,56083,6,7.0,False
59466503,2,112990,3558949.145936517,439581.37287664454,9999,7,166,223,28039,3,3.0,False
628105475,2,238990,3558936.422421573,445757.3363464184,9999,7,190,39,7007,1,7.0,False
31527340,2,445298,3558858.828969089,445756.9215649006,9999,7,190,299,7109,8,7.0,False
613299879,1,561990,3559156.3079283377,408871.08563450247,9999,8,44,0,0,4,4.0,False
59594262,2,111140,3559145.392089862,408852.1277662595,9999,8,44,59,45065,5,3.0,False
41516845,2,112111,3559131.2633078364,409191.4780875979,2011,8,45,274,73110,8,5.0,False
9911388,2,112990,3559136.8819727274,409804.4718786534,9999,8,48,71,37054,5,2.0,False
838716475,2,444180,3559210.240889259,423845.75489929767,9999,8,103,40,7008,1,14.0,False
10269031,2,424990,3559224.6771571874,445749.4485764239,9999,8,190,31,13018,1,8.0,False
838788441,1,459110,3559257.780308824,445777.91166730184,9999,8,191,183,24041,4,9.0,False
6715582,1,812112,3559504.6819979167,407129.7357191959,9999,9,37,225,18025,2,3.0,False
16851766,2,561990,3559504.6819979167,407129.7357191959,9999,9,37,225,18025,2,2.0,False
783816184,1,812112,3559494.4602761394,407035.34555141453,2007,9,37,176,23033,3,3.0,False
836946140,2,561990,3559504.7121042907,414701.6296953927,9999,9,67,225,18025,2,2.0,False
130160278,2,449210,3559504.7121042907,414701.6296953927,1991,9,67,225,18025,2,2.0,False
968001342,3,721214,3559420.5558464397,418189.7947523185,9999,9,81,0,0,3,0.0,False
878193049,1,811420,3559300.764009221,423601.2737136652,9999,9,102,284,62099,8,15.0,False
10926810,1,238220,3559287.694502021,423865.19476272725,9999,9,104,81,43070,6,16.0,False
91713979,1,812220,3559482.8714906205,427487.4047830597,9999,9,118,224,18025,3,5.0,False
883579273,2,424310,3559403.712386777,437736.04822805355,9999,9,159,71,37054,5,3.0,False
164294451,1,561990,3559403.712386777,437736.04822805355,9999,9,159,71,37054,5,4.0,False
59928378,1,236115,3559403.712386777,437736.04822805355,9999,9,159,71,37054,5,4.0,False
